created,text,retwc,hashtag,followers,friends
2017-09-07 16:03:20,"b'RT @myhtopoeic: Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUx\xe2\x80\xa6'",8,None,8679,9135
2017-09-07 16:03:15,b'VOA learning English - How Irrigation Systems Can Increase Malaria Risk: https://t.co/rbHLPrF2dy via @YouTube',0,None,9,9
2017-09-07 16:03:09,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,7498,7943
2017-09-07 16:03:06,"b""I tell ya what I don't miss - taken those vile anti malaria tablets. #DominicanRepublic""",0,DominicanRepublic,216,639
2017-09-07 16:02:54,"b'Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUxLQHFs0'",8,None,2651,777
2017-09-07 16:02:36,"b'RT MailOnline ""Italy opens manslaughter probe over four-year-old girl\'s malaria death https://t.co/9WaxMWRNvP""'",0,None,410,149
2017-09-07 16:02:08,b'The challenge of #heparin: fighting #cancer and #malaria \xf0\x9f\x8e\xa5 https://t.co/FmVSm3NjfK #100yearsHeparin',1,heparin,1556,827
2017-09-07 16:01:54,"b'Just In&gt;&gt; ""\nItaly opens manslaughter probe over girl\'s malaria death\n      "" \nhttps://t.co/ShSo6vboSW'",0,None,2676,1409
2017-09-07 16:01:51,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,4210,4576
2017-09-07 16:01:46,"b""RT @GoldCoastReport: It's a shame we lost out on a potential 5\xe2\xad\x90 rating cos of how long it took tea to cool &amp; too much malaria https://t.co/\xe2\x80\xa6""",4,None,899,605
2017-09-07 16:00:16,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,80,206
2017-09-07 16:00:02,"b""On 25/08/17 @JamesMNMUK &amp; @RentokilInitial took part in the 'Triple Challenge' fundraising for @malarianomoreuk https://t.co/f3xCApxJWE""",0,None,8460,2164
2017-09-07 15:59:28,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,557,721
2017-09-07 15:59:28,b'RT @NOAAClimate: Malaria risk zones are climbing mountains. New research from @climatesociety. https://t.co/KpVOSR2RAW https://t.co/lE1m2Hs\xe2\x80\xa6',33,None,9005,2898
2017-09-07 15:59:16,"b""MailOnline : Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/5nx7m6Nvv7 (via \xe2\x80\xa6\xe2\x80\xa6 https://t.co/wDwO6rX6yF""",0,None,576,3795
2017-09-07 15:59:12,"b""RT @GoldCoastReport: It's a shame we lost out on a potential 5\xe2\xad\x90 rating cos of how long it took tea to cool &amp; too much malaria https://t.co/\xe2\x80\xa6""",4,None,2130,757
2017-09-07 15:58:27,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,19151,1327
2017-09-07 15:58:26,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,4332,4985
